,item_url,manufacturer,new_price,part_no
0,https://www.radwell.com/en-US/Buy/BRADY/BRADY/3400-G,BRADY,$4.43,34017
1,https://www.radwell.com/en-US/Buy/CAT%20PUMPS/CAT%20PUMPS/34017,CAT PUMPS,$678.00,34017
2,https://www.radwell.com/en-US/Buy/KEARNEY%20NATIONAL%20INC/KEARNEY%20NATIONAL%20INC/31040,KEARNEY NATIONAL INC,$18.20,31040
3,https://www.radwell.com/en-US/Buy/NEXEN%20GROUP/HORTON%20MANUFACTURING/31040,NEXEN GROUP,$772.60,31040
4,https://www.radwell.com/en-US/Buy/BRADY/BRADY/PWM-40,BRADY,$28.40,31040
5,https://www.radwell.com/en-US/Buy/TEXTRON/GREENLEE%20TOOL/31040,TEXTRON,$508.37,31040
6,https://www.radwell.com/en-US/Buy/ZEBRA/ZEBRA/31040,ZEBRA,$51.28,31040
7,https://www.radwell.com/en-US/Buy/BANNER%20ENGINEERING/BANNER%20ENGINEERING/TL50HYYYYRQ,BANNER ENGINEERING,$272.00,31040
8,https://www.radwell.com/en-US/Buy/AIRMASTER/AIRMASTER/31040,AIRMASTER,"$9,277.69",31040
9,https://www.radwell.com/en-US/Buy/PFERD/PFERD/31040,PFERD,$28.48,31040
10,https://www.radwell.com/en-US/Buy/SUPER%20LUBE/SUPER%20LUBE/31040,SUPER LUBE,$81.39,31040
11,https://www.radwell.com/en-US/Buy/LENOX/LENOX/31040,LENOX,$47.10,31040
12,https://www.radwell.com/en-US/Buy/RIDGID%20TOOL/RIDGID%20TOOL/31040,RIDGID TOOL,$255.63,31040
13,https://www.radwell.com/en-US/Buy/ACCUDYNE%20INDUSTRIES/LMI%20LIQUID%20METRONICS/31040,ACCUDYNE INDUSTRIES,$125.66,31040
14,https://www.radwell.com/en-US/Buy/CAT%20PUMPS/CAT%20PUMPS/31040,CAT PUMPS,$594.50,31040
15,https://www.radwell.com/en-US/Buy/HUBBELL/HUBBELL/62269-1,HUBBELL,$618.00,62269-1
16,https://www.radwell.com/en-US/Buy/CASTEL%20MAG/CASTEL%20MAG/4491-DIV-A,CASTEL MAG,$43.20,4491/A
17,https://www.radwell.com/en-US/Buy/SYLVANIA/SYLVANIA/27,SYLVANIA,As Low As,27
18,https://www.radwell.com/en-US/Buy/CEC%20INDUSTRIES/CEC%20INDUSTRIES/27,CEC INDUSTRIES,$0.79,27
